FP;sp_name
8.293560211;Colinus virginianus
7.075135708;Callipepla californica
5.396569056;Tetraogallus caucasicus
4.554905298;Tetraogallus caspius
5.885139391;Alectoris graeca
4.555991285;Alectoris rufa
4.555991285;Alectoris chukar
8.278084155;Alectoris barbara
5.374493494;Coturnix coturnix
9.19167293;Bambusicola thoracicus
12.2590834;Francolinus francolinus
9.807997397;Meleagris gallopavo
11.98608546;Bonasa umbellus
7.80175426;Bonasa bonasia
5.978732319;Lagopus muta
5.978732319;Lagopus lagopus
4.903612474;Tetrao urogallus
4.523511433;Tetrao tetrix
7.247459058;Syrmaticus soemmerringii
7.578762102;Syrmaticus reevesii
5.930601135;Phasianus colchicus
5.465256901;Chrysolophus pictus
5.465256901;Chrysolophus amherstiae
6.560375589;Perdix perdix
8.638425477;Cygnus cygnus
8.981800991;Cygnus columbianus
13.19373281;Cygnus olor
3.450706681;Anser erythropus
3.725333954;Anser anser
3.895584642;Anser brachyrhynchus
4.232250602;Anser albifrons
4.232250602;Anser fabalis
6.108175929;Branta leucopsis
6.567537063;Branta canadensis
11.77076118;Branta bernicla
8.955632299;Oxyura leucocephala
9.5464054;Oxyura jamaicensis
2.564495578;Anas discors
2.401957629;Anas clypeata
3.895645858;Anas querquedula
1.624040991;Anas rubripes
1.5732667;Anas platyrhynchos
3.327013036;Anas acuta
4.742367158;Anas crecca
3.910984736;Anas strepera
3.910984736;Anas falcata
2.99624763;Anas americana
10.31444494;Polysticta stelleri
5.411008849;Somateria spectabilis
5.411008849;Somateria mollissima
11.980212;Clangula hyemalis
11.980212;Histrionicus histrionicus
11.16818014;Melanitta nigra
8.322536435;Melanitta fusca
8.885391436;Lophodytes cucullatus
4.981061214;Mergus merganser
4.981061214;Mergus serrator
10.21746217;Mergellus albellus
6.482790112;Bucephala clangula
6.482790112;Bucephala islandica
3.70285257;Tadorna ferruginea
6.2786321;Tadorna tadorna
9.79592391;Alopochen aegyptiaca
11.14560143;Aix sponsa
11.14560143;Aix galericulata
3.23767392;Netta rufina
3.004514034;Aythya nyroca
2.851309692;Aythya ferina
2.851309692;Aythya valisineria
2.699663802;Aythya collaris
2.40986774;Aythya americana
3.241734414;Aythya fuligula
2.708334893;Aythya marila
2.708334893;Aythya affinis
10.19174492;Marmaronetta angustirostris
15.28169387;Porphyrio porphyrio
9.003192988;Laterallus jamaicensis
24.69030681;Rallina eurizonoides
7.146778545;Amaurornis phoenicurus
6.556104989;Rallus elegans
6.161218143;Rallus longirostris
8.713721489;Rallus aquaticus
14.32842329;Rallus limicola
11.9409317;Crex crex
6.893297598;Gallirallus okinawae
6.387592741;Fulica americana
5.737495972;Fulica atra
7.155220578;Gallinula chloropus
8.977901316;Porzana porzana
7.30222708;Porzana carolina
6.191040853;Porzana fusca
5.391702902;Fulica cristata
5.391702902;Porzana parva
7.581106565;Grus japonensis
5.922813094;Grus grus
27.33737787;Otis tarda
18.73304775;Tetrax tetrax
13.78350674;Cuculus optatus
3.948853439;Cuculus canorus
4.173943957;Cuculus saturatus
5.404900448;Cuculus micropterus
6.882552546;Cuculus poliocephalus
21.68446246;Clamator glandarius
9.28646898;Coccyzus americanus
16.31724364;Coccyzus erythropthalmus
56.95935169;Gavia stellata
18.52949941;Gavia immer
30.71019607;Gavia arctica
23.0815422;Pelagodroma marina
11.21661907;Fulmarus glacialis
17.32463638;Bulweria bulwerii
9.676784244;Calonectris leucomelas
8.437110565;Calonectris diomedea
6.318347439;Puffinus lherminieri
7.636618154;Puffinus puffinus
6.70073195;Puffinus mauretanicus
6.70073195;Puffinus yelkouan
4.99104749;Pterodroma madeira
23.87303368;Hydrobates pelagicus
25.28286531;Ciconia nigra
15.19652338;Ciconia ciconia
19.56971403;Plegadis falcinellus
13.04953198;Platalea leucorodia
19.22336033;Ixobrychus exilis
14.58076255;Botaurus stellaris
12.74195848;Botaurus lentiginosus
24.68144867;Ixobrychus minutus
18.64514606;Ixobrychus sinensis
24.44551293;Ixobrychus cinnamomeus
14.88790291;Egretta caerulea
7.193534809;Egretta sacra
6.799822511;Egretta garzetta
6.799822511;Egretta thula
13.4097148;Egretta tricolor
19.54817251;Nycticorax nycticorax
16.9821948;Butorides virescens
16.9821948;Butorides striata
12.78100854;Ardeola ralloides
13.68116082;Bubulcus ibis
5.221085226;Ardea cinerea
4.403049661;Ardea purpurea
4.403049661;Ardea herodias
9.915518089;Gorsachius goisagi
28.45749407;Nyctanassa violacea
27.26572967;Pelecanus crispus
26.42747796;Pelecanus onocrotalus
10.29408185;Morus bassanus
10.30175858;Sula leucogaster
5.696515904;Phalacrocorax pelagicus
4.25427654;Phalacrocorax auritus
7.015481022;Phalacrocorax carbo
3.545008223;Phalacrocorax capillatus
10.66641633;Treron formosae
6.155226807;Treron sieboldii
16.93818321;Chalcophaps indica
5.85369729;Zenaida macroura
4.656058269;Streptopelia decaocto
4.239857062;Streptopelia orientalis
3.027361084;Streptopelia turtur
11.09521854;Columba trocaz
5.925902891;Columba palumbus
4.540354424;Columba oenas
3.773895275;Columba janthina
3.339228206;Columba livia
14.18382606;Phoenicopterus roseus
15.53472326;Tachybaptus ruficollis
12.07085846;Podiceps grisegena
12.1532553;Podiceps auritus
9.768441668;Podiceps cristatus
10.6191074;Podiceps nigricollis
22.00916658;Podilymbus podiceps
11.8799202;Pterocles alchata
14.87844934;Pterocles orientalis
9.317863026;Turnix suscitator
5.58611139;Glareola nordmanni
5.250126598;Glareola pratincola
7.65640589;Glareola maldivarum
3.838640011;Larus genei
2.198497505;Larus ridibundus
3.161749465;Larus audouinii
2.763095834;Larus melanocephalus
3.186727874;Larus ichthyaetus
2.436200911;Larus crassirostris
2.127561276;Larus delawarensis
1.494811043;Larus fuscus
1.204974313;Larus cachinnans
1.106884558;Larus schistisagus
1.518355512;Larus marinus
1.426153561;Larus armenicus
1.426153561;Larus michahellis
1.470123013;Larus hyperboreus
1.470123013;Larus argentatus
2.571390071;Larus canus
6.180746277;Rissa tridactyla
6.522161753;Xema sabini
6.522161753;Pagophila eburnea
6.489028475;Rynchops niger
14.85735092;Anous stolidus
4.127681029;Sterna sumatrana
3.973767661;Sterna dougallii
3.454692699;Sterna paradisaea
6.056598786;Sterna hirundo
5.594861343;Sterna forsteri
5.078659284;Chlidonias leucopterus
5.078659284;Chlidonias niger
6.236163596;Chlidonias hybrida
4.13462874;Sterna albifrons
3.925364527;Stercorarius pomarinus
3.925364527;Catharacta skua
8.121900516;Stercorarius longicaudus
8.121900516;Stercorarius parasiticus
7.60523761;Fratercula arctica
11.93362142;Cerorhinca monocerata
10.84472887;Uria lomvia
10.84472887;Uria aalge
13.76104417;Alca torda
13.76104417;Alle alle
11.00991131;Cepphus grylle
9.171228638;Cepphus carbo
30.04356546;Rostratula benghalensis
31.70829281;Bartramia longicauda
16.39718463;Numenius phaeopus
9.115705278;Numenius arquata
24.30958251;Tringa ochropus
14.87581797;Tringa nebularia
16.92765376;Tringa erythropus
12.88201086;Tringa stagnatilis
12.74548679;Tringa glareola
12.74548679;Tringa totanus
27.17049096;Actitis hypoleucos
27.17049096;Actitis macularius
31.93975653;Xenus cinereus
20.95864975;Phalaropus lobatus
20.95864975;Phalaropus fulicarius
20.39939368;Arenaria interpres
9.397904265;Calidris maritima
14.01395341;Calidris alpina
12.08890947;Calidris melanotos
10.10321412;Calidris alba
12.80694865;Calidris minuta
17.82605815;Calidris temminckii
17.17083196;Calidris canutus
9.715853921;Scolopax rusticola
14.59692345;Scolopax minor
6.546414664;Gallinago hardwickii
9.327421715;Gallinago gallinago
6.810825628;Gallinago media
5.404306365;Gallinago stenura
34.76193504;Lymnocryptes minimus
22.48616558;Limosa limosa
21.94083724;Limosa lapponica
18.99394963;Pluvialis apricaria
24.89774779;Pluvialis squatarola
29.59460674;Eudromias morinellus
12.43483917;Charadrius hiaticula
12.43483917;Charadrius asiaticus
16.18446944;Charadrius melodus
15.89182142;Charadrius vociferus
8.615977908;Charadrius placidus
10.66034197;Charadrius dubius
11.43874763;Vanellus gregarius
12.01320878;Vanellus vanellus
14.6401001;Vanellus spinosus
9.464777311;Vanellus cinereus
10.83816939;Vanellus leucurus
8.26229902;Charadrius alexandrinus
7.526585317;Charadrius leschenaultii
6.914300554;Haematopus ostralegus
8.062386809;Haematopus palliatus
12.68391406;Recurvirostra avosetta
10.01774013;Himantopus himantopus
16.17763996;Burhinus oedicnemus
14.45385981;Falco sparverius
14.45385981;Falco columbarius
5.017759952;Falco eleonorae
4.91823403;Falco subbuteo
6.996019974;Falco vespertinus
4.150860344;Falco peregrinus
5.518908878;Falco biarmicus
4.100356123;Falco rusticolus
3.99593397;Falco cherrug
8.21225137;Falco naumanni
4.534069915;Falco tinnunculus
6.088282666;Psittacula krameri
17.82944194;Myiopsitta monachus
7.595497736;Pitta nympha
6.265130542;Tyrannus tyrannus
3.901370339;Myiarchus crinitus
5.708912172;Sayornis phoebe
10.21054563;Empidonax virescens
6.521965651;Empidonax minimus
6.041356893;Empidonax alnorum
6.041356893;Empidonax traillii
6.830294002;Empidonax flaviventris
2.767687157;Contopus cooperi
5.257364528;Contopus virens
13.01433637;Apalopteron familiare
5.417724105;Pericrocotus divaricatus
6.747458982;Vireo griseus
4.009611216;Vireo solitarius
5.321703257;Vireo flavifrons
2.783204825;Vireo gilvus
4.025578445;Vireo philadelphicus
5.541733325;Vireo olivaceus
5.670432504;Oriolus oriolus
3.238477322;Terpsiphone atrocaudata
4.022839742;Lanius nubicus
6.288031995;Lanius senator
4.976016393;Lanius minor
4.204751571;Lanius tigrinus
3.873581817;Lanius bucephalus
3.78480797;Lanius cristatus
4.383152199;Lanius collurio
4.021126759;Lanius meridionalis
3.280657459;Lanius excubitor
3.392133883;Lanius ludovicianus
7.739301607;Perisoreus infaustus
10.86864353;Perisoreus canadensis
15.49795248;Cyanopica cyanus
10.05837128;Cyanocitta cristata
6.835827436;Pica pica
8.132574844;Nucifraga caryocatactes
4.954372622;Corvus monedula
3.206562755;Corvus frugilegus
3.118877189;Corvus corax
4.197635229;Corvus corone
2.826799675;Corvus brachyrhynchos
3.36849881;Corvus macrorhynchos
3.779681463;Corvus ossifragus
9.041770993;Garrulus glandarius
10.30011326;Garrulus lidthi
13.49970987;Pyrrhocorax pyrrhocorax
13.49970987;Pyrrhocorax graculus
9.55499776;Parus caeruleus
9.711658525;Parus montanus
10.33803863;Parus ater
10.18549244;Parus cristatus
5.536263471;Baeolophus bicolor
